

酒店测试频道,#genre#
民视新闻,http://120.84.96.103:808/hls/34/index.m3u8
潮州综合,http://120.84.96.103:808/hls/20/index.m3u8
潮州综合,http://120.84.96.33:808/hls/20/index.m3u8
潮州综合,http://120.84.96.109:808/hls/20/index.m3u8
广东体育,http://120.84.96.109:808/hls/22/index.m3u8
广东体育,http://120.84.96.33:808/hls/22/index.m3u8
广东体育,http://120.84.96.33:808/hls/170/index.m3u8
广东体育,http://120.84.96.103:808/hls/22/index.m3u8
广东体育,http://120.84.96.103:808/hls/170/index.m3u8
广东体育,http://120.84.96.109:808/hls/170/index.m3u8
广东新闻,http://120.84.96.109:808/hls/124/index.m3u8
广东新闻,http://120.84.96.103:808/hls/124/index.m3u8
广东新闻,http://120.84.96.33:808/hls/124/index.m3u8
广东珠江,http://120.84.96.33:808/hls/83/index.m3u8
广东珠江,http://120.84.96.103:808/hls/83/index.m3u8
广东珠江,http://120.84.96.109:808/hls/83/index.m3u8
广东少儿,http://120.84.96.109:808/hls/120/index.m3u8
广东少儿,http://120.84.96.103:808/hls/120/index.m3u8
广东少儿,http://120.84.96.33:808/hls/120/index.m3u8
广东卫视,http://120.84.96.33:808/hls/121/index.m3u8
广东卫视,http://120.84.96.103:808/hls/121/index.m3u8
广东卫视,http://120.84.96.109:808/hls/121/index.m3u8
广东珠江,http://120.84.96.109:808/hls/122/index.m3u8
广东珠江,http://120.84.96.103:808/hls/122/index.m3u8
广东珠江,http://120.84.96.33:808/hls/122/index.m3u8
广东影视,http://120.84.96.33:808/hls/142/index.m3u8
广东影视,http://120.84.96.103:808/hls/142/index.m3u8
广东影视,http://120.84.96.109:808/hls/142/index.m3u8
领南戏曲,http://120.84.96.109:808/hls/143/index.m3u8
领南戏曲,http://120.84.96.103:808/hls/143/index.m3u8
领南戏曲,http://120.84.96.33:808/hls/143/index.m3u8
广东民生,http://120.84.96.33:808/hls/148/index.m3u8
广东民生,http://120.84.96.103:808/hls/148/index.m3u8
广东民生,http://120.84.96.109:808/hls/148/index.m3u8
龙祥时代,http://120.84.96.109:808/hls/35/index.m3u8
龙祥时代,http://120.84.96.103:808/hls/35/index.m3u8
龙祥时代,http://120.84.96.33:808/hls/35/index.m3u8
24[1920x1080],http://120.84.96.33:808/hls/24/index.m3u8
24[1920x1080],http://120.84.96.103:808/hls/24/index.m3u8
24[1920x1080],http://120.84.96.109:808/hls/24/index.m3u8
84[1920x1080],http://120.84.96.109:808/hls/84/index.m3u8
84[1920x1080],http://120.84.96.103:808/hls/84/index.m3u8
84[1920x1080],http://120.84.96.33:808/hls/84/index.m3u8
CCM,http://120.84.96.33:808/hls/85/index.m3u8
CCM,http://120.84.96.103:808/hls/85/index.m3u8
CCM,http://120.84.96.109:808/hls/85/index.m3u8
深圳卫视,http://120.84.96.109:808/hls/125/index.m3u8
深圳卫视,http://120.84.96.103:808/hls/125/index.m3u8
深圳卫视,http://120.84.96.33:808/hls/125/index.m3u8
大湾区卫视,http://120.84.96.33:808/hls/119/index.m3u8
大湾区卫视,http://120.84.96.103:808/hls/119/index.m3u8
大湾区卫视,http://120.84.96.109:808/hls/119/index.m3u8
经济科教,http://120.84.96.109:808/hls/118/index.m3u8
经济科教,http://120.84.96.103:808/hls/118/index.m3u8
经济科教,http://120.84.96.33:808/hls/118/index.m3u8
湖南,http://120.84.96.33:808/hls/126/index.m3u8
湖南,http://120.84.96.103:808/hls/126/index.m3u8
湖南,http://120.84.96.109:808/hls/126/index.m3u8
贵州卫视,http://120.84.96.109:808/hls/127/index.m3u8
贵州卫视,http://120.84.96.103:808/hls/127/index.m3u8
贵州卫视,http://120.84.96.33:808/hls/127/index.m3u8
浙江卫视,http://120.84.96.33:808/hls/129/index.m3u8
浙江卫视,http://120.84.96.103:808/hls/129/index.m3u8
浙江卫视,http://120.84.96.109:808/hls/129/index.m3u8
江苏卫视,http://120.84.96.109:808/hls/130/index.m3u8
江苏卫视,http://120.84.96.103:808/hls/130/index.m3u8
江苏卫视,http://120.84.96.33:808/hls/130/index.m3u8
湖北卫视,http://120.84.96.33:808/hls/128/index.m3u8
湖北卫视,http://120.84.96.103:808/hls/128/index.m3u8
湖北卫视,http://120.84.96.109:808/hls/128/index.m3u8
山东卫视,http://120.84.96.109:808/hls/132/index.m3u8
